Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
0,0,0,f4fff4ff200000002800daffe6ff060050babc5740e11a6fda0be87804356473
1,1,0,e4ff0600d2ff0000caff1800160006007225b69318fb788756d1c28a64ad249c
2,2,0,f4fff4ff0000f2ffeaffdaff1600f6ff08fe78773c28b876804d8c673469544b
3,3,0,36001600f2ff0000daffeaff060006008cdef6872ab8e4947e9a6aafd489e4d3
4,4,0,160026001000100028002800f6ff06002e42f86d6e61c055687464327478f408
5,5,0,f4ff0600f2ff0000eaffdafff6ff0600c4a264a5a68d46c7028720f0348fc41a
6,6,0,1600060000002000caffeaffe6fff6ffa86fde3e067900170a7300eca45ed4c3
7,7,0,0600f4ffe2ffd2ff38003800e6ff0600a6874ae2d68af40cbe9c043684bb9458
8,8,0,e4ff060030001000daffdaffd6fff6ff787638fadc6624d0504aacac54243493
9,9,0,e4fff4fff2ff00003800eaff0600e6ff669582295cb0924e04d58a6954ffb477
10,10,0,1600f4fff2ff0000eaff2800f6fff6ffcc5430b77a31129a0c08b28954dd1488
11,11,0,e4ff06000000100028003800060016005ec81a625af1a874d81ba8784443646d
12,12,0,f4ffe4ff000000003800caff2600f6fff415468dcceae886b8c2a08f14a234a6
13,13,0,0600f4ff1000f2ff2800daff0600f6ff560ec678383798725e590c5e1470c43d
14,14,0,2600f4ff10001000eaffeafff6ff06004ecf068b5eab829d709248bc748784e3
15,15,0,1600160020003000eafffaff060026003c4f4a662a6a6449f87786235476d4f8
16,16,0,06000600100000003800eaff0600e6ff349922b1668922d682888c002496942a
17,17,0,06002600100000002800eaff26002600b8745030667886061a6d14dcd45344b6
18,18,0,360006000000f2ff3800eaff0600f6ff088798f20490101d4ca7924474c9d462
19,19,0,0600060000001000faffdaff060006003872bae91e5da8c1a23c5ea16414b48c
20,20,0,160006000000e2ff2800380006000600349e503848bd305ad2e4da70840f1479
21,21,0,f4ff06002000f2ffeaffeaff060006004e48a2aa3e2224928ef74287d4cd748b
22,22,0,f4ff16000000f2ff4800eaff060006009cd7b86a9601e877962b187654509465
23,23,0,0600e4ff100000004800dafff6fff6ff66052689f0da86882ab5d096c49844b2
24,24,0,06000600f2ffe2ffdaff2800f6fff6ff621e487834453a6c8c631e536475442f
